,thermal_stress,air_pollution,green_roof
1746,2,2,1
1747,2,2,0
1748,2,2,0
1749,2,2,0
1750,2,2,0
1751,2,2,0
1752,2,2,0
1753,2,2,0
1755,2,2,0
1756,2,2,0
1757,2,2,1
1758,3,2,0
1759,3,2,0
1760,3,2,0
1761,3,2,1
1762,3,2,0
1763,3,2,1
1764,3,2,0
1765,3,2,1
1766,3,2,0
1767,3,2,0
1768,3,2,0
1769,2,2,0
1770,2,2,0
1771,2,2,0
1772,3,3,0
1773,3,2,0
1774,2,2,0
1775,2,2,0
1776,2,2,0
1777,3,2,0
1778,3,2,0
1779,3,2,0
1780,3,2,0
1781,2,2,0
1782,2,2,1
1783,2,2,0
1784,2,2,0
1785,2,2,0
1786,2,2,0
1787,2,2,0
1788,3,2,1
1789,3,2,0
1790,3,2,0
1791,3,2,0
1793,3,2,0
1794,3,2,0
1795,3,2,0
1796,3,2,0
1797,2,2,1
1798,2,2,0
1799,2,2,0
1801,2,2,0
1802,2,2,0
1803,2,2,0
1805,2,2,0
1806,2,2,0
1808,2,2,1
1809,2,2,0
1810,2,2,0
1811,2,2,0
1812,2,2,0
1813,2,2,1
1814,2,2,0
1815,2,2,0
1816,2,2,1
1817,2,2,1
1818,2,2,0
1819,2,2,0
1820,2,2,0
1821,2,2,1
1823,2,2,0
1824,2,2,1
1825,2,2,0
1826,2,2,0
1827,2,2,0
1828,2,2,0
1829,2,2,0
1830,2,2,1
1831,2,2,1
1832,2,2,1
1833,2,2,0
1834,2,2,0
1835,2,2,0
1837,2,2,0
1838,2,2,0
1839,2,2,0
1840,3,3,1
1841,3,3,1
1842,3,3,1
1843,3,3,0
1844,3,3,0
1845,3,3,1
1846,3,3,1
1847,3,3,1
1848,3,3,0
1849,3,3,1
1850,3,3,1
1851,3,3,0
1852,3,3,1
1853,3,3,1
1854,3,3,1
1855,3,3,1
1857,3,3,1
1858,3,3,1
1859,3,3,0
1860,3,3,1
1861,3,3,0
1862,3,3,1
1863,3,3,1
1864,3,3,1
1865,3,3,0
1866,3,3,1
1867,3,3,1
1868,3,3,0
1869,3,3,1
1870,3,3,1
1871,3,3,0
1872,3,3,0
1873,3,3,1
1874,3,3,0
1876,3,3,1
1877,3,3,0
1879,3,3,1
1880,3,3,1
1881,3,3,1
1882,3,3,1
1883,3,3,1
1885,3,3,1
1886,3,3,1
1887,3,3,1
1888,3,3,1
1890,3,3,1
1891,3,3,1
1892,3,3,0
1894,3,3,1
1895,3,3,1
1896,3,3,1
1897,3,3,1
1898,3,3,1
1899,3,3,1
1900,3,3,1
1901,3,3,1
1902,3,3,1
1903,3,3,1
1904,3,3,1
1905,3,3,1
1906,3,3,1
1907,3,3,1
1908,3,3,1
1909,3,3,1
1910,3,3,1
1911,3,3,0
1915,3,3,1
1916,3,3,1
1917,3,3,1
1918,3,3,1
1919,3,3,1
1920,3,3,1
1921,3,3,1
1922,3,3,1
1923,3,3,1
1924,3,3,1
1925,3,3,1
1926,3,3,1
1927,3,3,1
1928,3,3,1
1929,3,3,1
1930,3,3,1
1931,3,3,1
1932,3,3,1
1933,3,3,1
1935,3,3,0
1936,3,3,1
1937,3,3,1
1939,3,3,0
1940,3,3,1
1941,3,3,1
1942,3,3,1
1944,3,3,0
1945,3,3,0
1946,3,3,0
1947,3,3,0
1948,3,3,0
1949,3,3,0
1950,3,3,0
1951,3,3,1
1952,3,3,0
1953,3,3,0
1954,3,2,1
1955,3,2,0
1956,3,2,0
